'ID','IMF','pH'
71751,2.60341054995012,5.43223840403825
71752,2.76725751271909,5.39884680113818
71754,1.61042081863714,5.69449797360681
71755,2.25406272990859,5.37838135569381
71756,2.55621412653719,5.31986457206774
71757,2.08377614761222,5.28729203834274
71758,2.81531278569111,5.40612482423676
71759,2.32749191448589,5.55367513700615
71761,2.02429859795766,5.40723981188989
71762,2.7743842921916,5.284901838642
71764,4.29947473572757,5.2999120273212
71765,1.06753180170237,5.54603405769182
71766,1.53654907786375,5.29216857807179
71767,3.85800940658184,5.5206807311903
71769,3.51444909459664,5.43600847374583
71770,1.83045792111828,5.36688024566443
71771,2.47175387742986,5.28624469930469
71772,2.51328965246254,5.50590696005998
71773,2.74151419873573,5.28122875672607
71775,3.17287877727069,5.10648573491108
71776,2.17839230454969,5.46461899159364
71777,4.62271050445481,5.52686372398867
71778,1.87487834840224,5.37631129729083
71779,2.12196032495531,5.44226001911096
71780,2.08322601360858,5.14660988026258
71781,2.79028682246901,5.23367762890851
71782,1.7368357618204,5.24732197163641
71783,2.11252982581459,5.33755683751657
71785,1.76006357868796,5.46449394640219
71786,1.84023712535912,5.39518794674992
71787,2.11272389315344,5.3061288033916
71788,2.69636944053062,5.33147984055899
71791,2.78576507727068,5.55505409787733
71792,2.11953785926145,5.38216978030018
71794,3.39293801443647,5.76205714939232
71795,2.71776690791295,5.37007070833444
71796,2.14712039166564,5.33662224937491
71797,2.44062186060117,5.29298311040773
71798,2.50841241352581,5.3449986339078
71799,2.96588633888504,5.57779011074995
71800,3.35583901725741,5.19630304080991
71802,2.29364666906653,5.21481268619842
71803,2.88594111203494,5.25825485569905
71804,3.4651041671856,5.108760630004
71805,3.42823942746089,5.24701137388287
71806,2.02415326296993,5.64012579134243
71807,2.76058148236804,5.40761543262311
71808,3.00967914238539,5.21670542168853
71809,3.79699185495763,5.2328727228303
71810,1.57853714678198,5.3890066491918
71811,2.40772648289344,5.33924111831731
71812,2.81782818650257,5.47687601430039
71813,2.21116578677013,5.7125499970821
71815,1.96692177044984,4.94670498766199
71816,2.38857718210621,5.62699933769888
71817,3.82164215062196,5.41367745558263
71818,1.8475047710302,5.35263891278672
71819,1.21108399111617,5.31389377144389
71820,2.40157087110446,5.42192959261814
71821,3.33594398685718,5.64641951174516
71822,1.92950767659636,5.5985469043059
71823,3.16778099958133,5.4075735282088
71824,1.97703350936025,5.28534213775769
71825,2.9790932415167,5.39273550422696
71826,2.10631552576652,5.4187910215564
71827,3.08166533388983,5.34608582196399
71829,2.32568024076223,5.20177022622344
71830,1.78662121808684,5.45249720761784
71831,3.1174941309568,5.26648028967959
71832,2.20979519744793,5.19619778029954
71833,2.22069619098287,5.35227290861178
71834,2.19211026101768,5.49813267686991
71835,3.60066557464321,5.18934120515017
71836,1.65618128579355,5.34713478219745
71837,3.50288047808379,5.10896743877866
71838,2.53030875720279,5.27531301844961
71839,1.97412918963559,5.59772101789908
71842,3.34873304972907,5.23681021674883
71843,4.27617520976479,5.42053736534059
71845,2.64171039921154,5.45328033371988
71846,1.46984683841982,5.52863061457953
71847,2.01688541697019,5.26705507729662
71848,2.22679281427766,5.52786442880846
71849,2.66903138148146,5.30605562986384
71850,2.54094498618653,5.10793211490269
71851,2.22523884401215,5.88301993283798
71852,3.23942940003196,5.26078826810241
71853,2.17588618081057,5.35413569382216
71854,2.85812543760079,5.07636888763389
71855,2.95461770065925,5.28836504473528
71856,2.34664594517211,5.09886056066342
71857,1.90373956248739,5.14983514354213
71858,2.61836143833786,5.10725132635064
71859,3.1678749881794,5.66559719485594
71861,2.73222930956255,5.42481587534446
71862,2.77046784351689,5.47422306170386
71863,2.898122623147,5.44677173075631
71864,2.52168839145214,5.23343566237624
71865,3.11131793357179,5.5753889259068
71866,3.45299987296057,5.34815354702912
71867,3.02461725507989,5.49363870795739
71868,2.15427046043353,5.28450522945361
71869,2.16457543428535,5.36143597047545
71870,3.7193155158543,5.36000034452944
71871,3.39781718026835,5.55386072663597
71872,2.64139463577861,5.39130169629196
71873,2.88790296926273,5.32118078193738
71874,2.03469144002171,5.16406628142535
71875,3.08009057232387,5.15792125644366
71876,2.68189657061755,5.14196466069504
71877,1.10538571489815,5.31043366671547
71878,1.96317934488879,6.13334757125151
71879,2.90100468649017,5.11640088754526
71880,2.85868469701323,5.676322285097
71881,3.515260489535,5.10703976471081
71882,2.4718757279876,5.35611195915065
71884,3.28509756237548,5.2438152013985
71885,2.18903912322792,5.31977313092343
71887,2.0271102548581,5.42596002622662
71888,4.0850888194016,5.58986768912306
71889,2.20909817293124,5.31464843225888
71890,2.24758886297438,5.60874170451874
71891,2.45206741487622,5.38751857040557
71893,2.05360133786683,5.50259007229218
71894,3.20531011062853,5.19985132258399
71895,1.68003854017666,5.20926306383922
71896,3.08410946262323,5.76415147012648
71897,4.01927955676421,5.3568333380431
71898,3.02125432022456,4.48160008558216
71900,1.2850399222201,5.41573880383089
71901,1.97850255029601,5.57469506430763
71902,2.59600909634652,5.28064062232745
71903,1.95882911483585,5.35487963038027
71904,1.48302063281853,5.46564380539052
71905,1.33278640863954,5.51618797128449
71906,3.16976445557193,5.1295816926099
71907,1.87557014538659,5.58611163346634
71908,4.47855920241033,5.13279001620153
71909,3.19347686893656,5.51016115801828
71910,2.33685919544223,5.49284574620355
71911,2.194706713985,5.20792657218773
71912,1.98524540689694,5.16666582653953
71913,2.11270232565723,5.5442877944072
71914,2.6810976370256,5.49932081246786
71915,1.62068629046843,5.27617532000804
71916,3.51593725328244,5.39739911463426
71917,1.92610603945774,5.30183048150224
71918,3.2871831936739,5.39747246045573
71920,2.01753740605633,5.43625114079124
71922,2.12243519584815,5.23804985598245
71923,2.74274830842853,5.23793053068298
71924,2.2452552436249,5.36644091519656
71925,2.44822727214708,5.12668724598902
71926,2.41490032722331,5.18916198865482
71927,2.86936700514351,5.2691177566376
71928,2.95502477561779,5.10284947193998
71929,2.70864274752255,5.4902937331615
71930,2.67118769661262,5.61725648663434
71931,1.58366745269504,5.42321597705829
71932,2.38765328642773,5.48408116422432
71933,2.50292070646421,5.54756100369193
71934,2.12847377658136,5.34313873495269
71935,2.42117322016707,5.41358854570729
71936,1.78837401366836,5.30063816433015
71937,2.9169199246944,5.51573718936558
71938,2.05965864623875,5.31748768194721
71939,4.04356835224388,5.31648727728468
71940,2.32471318539239,5.3956648695356
71941,1.67110563894045,5.51956812641096
71942,3.79955290749142,5.16764782875544
71943,2.88516838637258,5.2277918030837
71944,2.61017055972294,5.18211214175866
71945,1.82332086061963,5.37912495723031
71946,1.81993125969584,5.3667455994476
71947,3.25839389667835,5.44887945211878
71948,2.67229196969696,5.55700136049769
71949,1.87590104319198,5.31740806449342
71950,2.0441003547601,5.62698899407528
71951,2.63221552514299,5.37355080109038
71953,2.68940116242425,5.21628141102029
71954,2.69971050065016,5.37190523109724
71955,3.01524295525244,5.61153310193977
71956,2.22262569891346,5.53689114084321
71958,1.65645524474087,5.46769600486576
71959,1.78564835643804,5.222561312881
71960,2.60651289321313,5.29196287395941
71961,2.16879394075245,5.52219756108735
71962,2.36123821523214,5.16269737230663
71963,2.52200455284349,5.42498868725978
71964,2.9019828696847,5.36348631797284
71965,2.45855949688871,5.21079235603589
71966,3.15352592597118,5.34764718762096
71967,2.6401994920089,5.56543863776313
71968,2.05489714158624,5.4006167832607
71970,1.82719211817445,5.49141714104623
71971,2.56547562140536,5.15158061348422
71972,4.09552809852052,5.56660240941684
71974,3.60709542195394,5.55606400474236
71976,3.36390312684632,5.23620096327244
71977,1.09217233770363,5.70234293021821
71978,2.9768069838674,5.20998302515052
71979,1.82977268468769,5.38796264166857
71980,2.54068568778875,5.48611614874112
71981,1.63285575036802,5.47842869985802
71982,3.34425019042587,5.09745910050625
71984,4.0039513107163,5.54601889295001
71985,2.20008124353476,5.6266499134454
71989,2.96968551245021,5.71853539417266
71991,4.80589326159631,5.48537234557129
71992,2.30671316995143,5.75484492709995
71994,1.37798687403162,5.36114528342966
71995,3.45393929444626,5.16382998519774
71996,1.55381664284306,5.25633209308993
71997,1.3081816964626,5.6154497285793
71998,1.27865401717261,5.29760155933736
71999,2.14675456557782,5.48612455270159
72000,2.13179026668698,5.4081750781186
72001,3.7967627118489,5.23096567984458
72002,1.86977990406192,5.26214918565926
72003,1.96839310825209,5.1256846024742
72004,3.80377622479389,5.7608195211453
72005,2.46093320042396,5.35548622784691
72006,2.18470532021471,5.46935847644564
72007,3.0989363802223,5.27148252930425
